X1;Y6;Y8;Y16
0;1965;1987;2001
0,01;0;0;2001
0,02;0;0;2001
0,03;0;524;2001
0,04;0;995;2001
0,05;0;1371;2001
0,06;0;1385;2001
0,07;0;1415;2001
0,08;0;1461;2001
0,09;0;1503;2001
0,1;0;1516;2001
0,11;32;1543;2001
0,12;619;1575;2001
0,13;872;1784;2001
0,14;1232;2215;2001
0,15;1277;2309;2001
0,16;1310;2321;2001
0,17;1346;2315;2001
0,18;1343;2273;2001
0,19;1360;2353;2001
0,2;1383;2224;2001
0,21;1328;2166;2001
0,22;1386;2180;2001
0,23;1485;2291;2001
0,24;1681;2149;2001
0,25;2176;2144;2001
0,26;2544;2175;2001
0,27;3051;2076;2001
0,28;3742;2098;2001
0,29;4122;2093;2001
0,3;4207;2099;2001
0,31;3884;2052;2001
0,32;3802;2053;2001
0,33;3544;2030;2001
0,34;3334;2052;2001
0,35;3136;1981;2001
0,36;3018;1995;2001
0,37;2890;1989;2001
0,38;2766;2012;2001
0,39;2661;1993;2001
0,4;2626;2111;2001
0,41;2534;1990;2001
0,42;2482;2003;2001
0,43;2407;2033;2001
0,44;2338;1961;2001
0,45;2401;1999;2001
0,46;2252;1996;2001
0,47;2203;2016;2001
0,48;2182;2004;2001
0,49;2132;2011;2001
0,5;2114;1993;2001
0,51;2066;1963;2001
0,52;2087;2035;2001
0,53;2061;1989;2001
0,54;2015;2000;2001
0,55;2026;1997;2001
0,56;2007;1990;2001
0,57;2017;1982;2001
0,58;2005;1974;2001
0,59;1928;2033;2001
0,6;1993;2007;2001
0,61;2004;2029;2001
0,62;1982;2004;2001
0,63;1991;1989;2001
0,64;2006;2012;2001
0,65;1988;1954;2001
0,66;1989;1994;2001
0,67;2016;2010;2001
0,68;2014;1936;2001
0,69;1992;1996;2001
0,7;1974;2014;2001
0,71;2030;2100;2001
0,72;1992;1997;2001
0,73;2082;2012;2001
0,74;2010;1995;2001
0,75;1950;1972;2001
0,76;2011;1970;2001
0,77;2010;1940;2001
0,78;2000;1973;2001
0,79;2025;2021;2001
0,8;2056;1989;2001
0,81;1959;2015;2001
0,82;2018;1996;2001
0,83;2018;1999;2001
0,84;1983;1991;2001
0,85;2004;2018;2001
0,86;1944;2008;2001
0,87;1949;1996;2001
0,88;2137;2019;2001
0,89;1989;1976;2001
0,9;2012;1975;2001
0,91;2005;1999;2001
0,92;1970;1983;2001
0,93;1980;1994;2001
0,94;2000;2004;2001
0,95;2007;1999;2001
0,96;1966;2115;2001
0,97;2002;2004;2001
0,98;2043;1957;2001
0,99;1993;1986;2001
1;2011;2015;2001
1,01;2000;2002;2001
1,02;1996;2041;2001
1,03;1999;2004;2001
1,04;1998;2006;2001
1,05;1998;1988;2001
1,06;2031;2007;2001
1,07;2024;1993;2001
1,08;2025;2041;2001
1,09;2000;2018;2001
1,1;1976;2027;2001
1,11;1982;2028;2001
1,12;1988;1986;2001
1,13;2017;1980;2001
1,14;1989;1998;2001
1,15;1998;2004;2001
1,16;2014;1968;2001
1,17;1992;2036;2001
1,18;2055;2094;2001
1,19;2002;2252;2001
1,2;2017;1974;2001
1,21;1992;1980;2001
1,22;1991;1989;2001
1,23;2014;1939;2001
1,24;2007;1998;2001
1,25;2010;2003;2001
1,26;1988;1997;2001
1,27;2063;1996;2001
1,28;2016;2010;2001
1,29;1985;2003;2001
1,3;2002;2066;2001
1,31;1994;1995;2001
1,32;2015;2010;2001
1,33;1992;1977;2001
1,34;1994;1980;2001
1,35;1987;1995;2001
1,36;2008;2011;2001
1,37;2010;1966;2001
1,38;1990;2001;2001
1,39;2018;1982;2001
1,4;2018;1985;2001
1,41;1988;1990;2001
1,42;2096;2000;2001
1,43;1983;1952;2001
1,44;1999;2015;2001
1,45;1964;1996;2001
1,46;1956;1998;2001
1,47;1997;1980;2001
1,48;1987;1998;2001
1,49;2006;2016;2001
1,5;1973;1985;2001
1,51;1980;1989;2001
1,52;2000;2010;2001
1,53;1996;1954;2001
1,54;1986;1965;2001
1,55;2021;1988;2001
1,56;2025;2022;2001
1,57;1945;2027;2001
1,58;2004;2030;2001
1,59;1928;1995;2001
1,6;2005;2000;2001
1,61;1983;1996;2001
1,62;1998;1991;2001
1,63;1989;2002;2001
1,64;2029;1994;2001
1,65;1998;1981;2001
1,66;1975;2015;2001
1,67;1996;1957;2001
1,68;2001;2006;2001
1,69;1966;2001;2001
1,7;2022;1968;2001
1,71;2016;1995;2001
1,72;1992;1999;2001
1,73;2120;2001;2001
1,74;2025;1973;2001
1,75;1989;1986;2001
1,76;1994;2028;2001
1,77;1990;1957;2001
1,78;1983;1987;2001
1,79;2004;2004;2001
1,8;2009;2028;2001
1,81;1983;1964;2001
1,82;2014;2010;2001
1,83;2003;1986;2001
1,84;2010;1989;2001
1,85;2296;2014;2001
1,86;2010;1999;2001
1,87;1969;1964;2001
1,88;2001;1943;2001
1,89;2006;2126;2001
1,9;1982;1991;2001
1,91;2050;1975;2001
1,92;2005;1987;2001
1,93;1995;1984;2001
1,94;2011;1962;2001
1,95;1993;1996;2001
1,96;1988;2003;2001
1,97;1966;2018;2001
1,98;2003;2005;2001
1,99;1971;1970;2001
2;2019;1982;2001
2,01;1992;1952;2001
2,02;1966;1986;2001
2,03;2021;2006;2001
2,04;2019;1990;2001
2,05;1962;2003;2001
2,06;2004;2011;2001
2,07;1990;1967;2001
2,08;1984;1982;2001
2,09;2004;2005;2001
2,1;2016;1978;2001
2,11;1986;1957;2001
2,12;1999;1978;2001
2,13;1963;2008;2001
2,14;1992;1997;2001
2,15;1994;2013;2001
2,16;2014;2011;2001
2,17;1993;2100;2001
2,18;1988;1986;2001
2,19;1998;1996;2001
2,2;1992;1990;2001
2,21;1985;2004;2001
2,22;2018;2019;2001
2,23;1991;1989;2001
2,24;2004;1960;2001
2,25;2094;1999;2001
2,26;1989;1996;2001
2,27;1980;1988;2001
2,28;1991;2008;2001
2,29;1979;1991;2001
2,3;1992;2020;2001
2,31;1976;1955;2001
2,32;1998;1991;2001
2,33;2008;1993;2001
2,34;2108;1991;2001
2,35;2010;1990;2001
2,36;2033;1993;2001
2,37;2015;1998;2001
2,38;1987;1978;2001
2,39;1998;2002;2001
2,4;1984;1996;2001
2,41;1990;1986;2001
2,42;1987;1958;2001
2,43;1992;2000;2001
2,44;1990;1984;2001
2,45;1996;1988;2001
2,46;1976;1992;2001
2,47;2072;1999;2001
2,48;2010;2072;2001
2,49;2008;1996;2001
2,5;1997;1992;2001
2,51;2017;1993;2001
2,52;2034;1991;2001
2,53;1992;1969;2001
2,54;2063;1985;2001
2,55;2003;2001;2001
2,56;1988;2020;2001
2,57;1992;1974;2001
2,58;2019;1982;2001
2,59;2014;2009;2001
2,6;2008;1992;2001
2,61;1984;1992;2001
2,62;1993;1942;2001
2,63;1978;1945;2001
2,64;2017;2036;2001
2,65;1979;1980;2001
2,66;2048;1956;2001
2,67;2003;1978;2001
2,68;1996;1981;2001
2,69;2031;2097;2001
2,7;2000;1987;2001
2,71;1977;1974;2001
2,72;2003;2003;2001
2,73;2012;2122;2001
2,74;2004;1976;2001
2,75;1980;1963;2001
2,76;2013;2081;2001
2,77;1994;1988;2001
2,78;2004;1993;2001
2,79;2001;1996;2001
2,8;1989;1993;2001
2,81;1988;2016;2001
2,82;1976;2008;2001
2,83;2005;1999;2001
2,84;1984;1989;2001
2,85;2023;1973;2001
2,86;2004;2011;2001
2,87;1997;2001;2001
