X1,Y1,X2,Y2,X3,Y3,X4,Y4,X5,Y5,X6,Y6,X7,Y7,X8,Y8,X9,Y9,X10,Y10,X11,Y11,X12,Y12,X13,Y13,X14,Y14,X15,Y15,X16,Y16
0,0,0,0,0,0,0,0,0,1992,0,1999,0,2008,0,2002,0,0,0,0,0,0,0,0,0,2001,0,2001,0,2001,0,2001
0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,2001,0.01,2001,0.01,2001,0.01,2001
0.02,0,0.02,0,0.02,0,0.02,0,0.02,0,0.02,0,0.02,0,0.02,0,0.02,0,0.02,0,0.02,0,0.02,0,0.02,2001,0.02,2001,0.02,2001,0.02,2001
0.03,0,0.03,0,0.03,0,0.03,0,0.03,831,0.03,919,0.03,24,0.03,1016,0.03,0,0.03,0,0.03,0,0.03,0,0.03,2001,0.03,2001,0.03,2001,0.03,2001
0.04,0,0.04,0,0.04,0,0.04,0,0.04,1157,0.04,1154,0.04,1512,0.04,1280,0.04,0,0.04,0,0.04,0,0.04,0,0.04,2001,0.04,2001,0.04,2001,0.04,2001
0.05,0,0.05,0,0.05,0,0.05,0,0.05,1692,0.05,1684,0.05,1546,0.05,1690,0.05,0,0.05,0,0.05,0,0.05,0,0.05,2001,0.05,2001,0.05,2001,0.05,2001
0.06,0,0.06,0,0.06,0,0.06,0,0.06,1947,0.06,1845,0.06,1620,0.06,1778,0.06,0,0.06,0,0.06,0,0.06,0,0.06,2001,0.06,2001,0.06,2001,0.06,2001
0.07,0,0.07,0,0.07,0,0.07,0,0.07,1941,0.07,1944,0.07,1726,0.07,2038,0.07,0,0.07,0,0.07,0,0.07,0,0.07,2001,0.07,2001,0.07,2001,0.07,2001
0.08,0,0.08,0,0.08,0,0.08,0,0.08,2018,0.08,2005,0.08,1798,0.08,2013,0.08,0,0.08,0,0.08,0,0.08,0,0.08,2001,0.08,2001,0.08,2001,0.08,2001
0.09,0,0.09,0,0.09,0,0.09,0,0.09,2077,0.09,2057,0.09,1857,0.09,2022,0.09,0,0.09,0,0.09,0,0.09,0,0.09,2001,0.09,2001,0.09,2001,0.09,2001
